ID,age,edu,gender,Condition,ide,WC,Affect,emotion
794,33,College degree,0,High,0,64,0,0
795,67,College degree,1,High,12,50,6,0
796,49,College degree,1,High,0,24,4.17,4.17
797,64,Graduate degree,1,High,92,28,3.57,3.57
798,65,Some college,1,High,70,56,1.79,0
799,68,College degree,0,High,92,42,2.38,0
800,70,High school diploma,1,High,50,11,45.45,9.09
801,56,Some college,1,High,0,48,0,0
802,32,College degree,0,High,85,86,0,0
803,39,Some college,1,High,100,34,0,0
804,60,Some college,1,High,49,39,5.13,0
805,73,Graduate degree,1,High,56,48,0,0
806,60,College degree,1,High,100,19,0,0
807,71,College degree,1,High,62,101,13.86,2.97
808,43,College degree,1,High,14,69,0,0
809,61,Some college,1,High,41,55,1.82,0
810,65,College degree,1,High,100,65,3.08,0
811,58,Some college,1,High,97,43,13.95,6.98
812,62,College degree,1,High,61,44,4.55,0
813,74,Some college,1,High,50,35,0,0
814,70,Some college,1,High,74,59,6.78,0
815,24,Some college,0,High,71,79,0,0
816,65,Some college,1,High,54,63,6.35,1.59
817,70,Some college,1,High,52,117,9.4,2.56
818,71,College degree,0,High,9,103,1.94,0
819,64,College degree,0,High,65,71,0,0
820,67,Graduate degree,1,High,6,127,4.72,1.57
821,65,Graduate degree,0,High,0,43,11.63,4.65
822,53,High school diploma,1,High,84,44,0,0
823,55,Graduate degree,1,High,88,47,0,0
824,66,College degree,1,High,15,228,2.63,0.44
825,35,College degree,0,High,50,62,0,0
826,40,College degree,0,High,50,24,8.33,0
827,66,College degree,0,High,29,77,2.6,0
828,75,Some college,0,High,51,24,0,0
829,51,College degree,0,High,83,76,2.63,1.32
830,68,College degree,0,High,0,24,0,0
831,65,Some college,0,High,82,269,2.23,0
832,74,Graduate degree,0,High,19,88,1.14,0
833,50,High school diploma,1,High,83,48,6.25,0
834,57,High school diploma,1,High,49,45,11.11,0
835,22,Some college,1,High,90,58,1.72,0
836,75,Graduate degree,1,High,82,43,16.28,0
837,67,College degree,1,High,92,100,8,2
838,39,College degree,0,High,49,16,0,0
839,24,College degree,1,High,100,18,5.56,0
840,49,High school diploma,0,High,30,48,4.17,0
841,44,Some college,1,High,50,66,3.03,0
842,75,College degree,1,High,100,87,3.45,0
843,73,College degree,1,High,0,185,2.7,2.16
844,24,High school diploma,0,High,51,11,45.45,36.36
845,18,High school diploma,1,High,89,17,0,0
846,42,Some college,1,High,50,11,0,0
847,29,College degree,1,High,0,67,2.99,0
848,28,College degree,1,High,33,24,8.33,0
849,70,College degree,1,High,30,54,0,0
850,44,College degree,1,High,59,176,1.14,0
851,71,College degree,1,High,83,100,2,2
852,55,High school diploma,1,High,50,68,11.76,4.41
853,74,Graduate degree,1,High,100,76,0,0
854,38,College degree,1,High,92,36,0,0
855,69,Some high school,0,High,0,16,12.5,0
856,63,Graduate degree,0,High,50,44,0,0
857,75,College degree,0,High,75,81,2.47,0
858,67,Graduate degree,0,High,76,29,3.45,0
859,71,High school diploma,0,High,1,88,3.41,3.41
860,68,High school diploma,0,High,50,56,1.79,0
861,75,Some college,0,High,50,17,35.29,0
862,75,Graduate degree,0,High,0,40,0,0
863,33,College degree,1,High,94,68,1.47,0
864,44,High school diploma,0,High,1,19,10.53,10.53
865,70,Graduate degree,1,High,86,43,6.98,0
866,65,Graduate degree,0,High,52,32,6.25,3.13
867,60,College degree,0,High,7,27,11.11,0
868,68,College degree,0,High,50,122,6.56,1.64
869,64,Some college,0,High,88,80,2.5,0
870,67,College degree,0,High,19,56,3.57,0
871,74,College degree,0,High,56,16,0,0
872,41,Some college,0,High,7,105,4.76,2.86
873,69,High school diploma,0,High,20,36,0,0
874,56,College degree,0,High,77,92,8.7,6.52
875,41,Some college,0,High,34,111,7.21,0.9
876,50,Some college,1,High,51,22,9.09,0
877,33,Some college,0,High,50,61,4.92,0
878,27,Some high school,0,High,42,47,2.13,0
879,36,Graduate degree,0,High,98,16,6.25,6.25
880,35,College degree,0,High,5,116,6.9,1.72
881,29,High school diploma,0,High,100,39,25.64,15.38
882,49,Some college,0,High,52,55,0,0
883,40,Graduate degree,0,High,49,76,10.53,0
884,56,College degree,0,High,51,33,0,0
885,62,High school diploma,0,High,100,83,3.61,1.2
886,56,Some college,0,High,50,19,26.32,10.53
887,41,Graduate degree,1,High,50,12,66.67,41.67
888,49,High school diploma,1,Low,46,34,2.94,0
889,66,College degree,1,High,52,44,4.55,2.27
890,31,High school diploma,1,High,55,22,0,0
891,43,Some high school,1,Low,49,29,0,0
892,58,Some college,0,High,0,25,0,0
893,65,Some college,1,High,53,66,4.55,1.52
894,72,Some college,1,Low,41,98,4.08,1.02
895,,Some high school,1,High,100,41,0,0
896,61,Some college,1,High,48,29,0,0
897,71,Graduate degree,0,High,100,86,3.49,1.16
898,70,High school diploma,1,High,21,21,38.1,4.76
899,48,Some college,0,High,50,19,0,0
900,22,College degree,0,Low,0,35,0,0
